GRUP;SOV_REF;ORDER_REF;SOV_TST;ORDER_TST;BLEU;BERT_F1;REF_CUMLE;TST_CUMLE
A;0.99;['S', 'O', 'O', 'O', 'O', 'O', 'O', 'V'];0.99;['S', 'O', 'O', 'O', 'O', 'O', 'V'];5.185404073830853e-78;0.9425;Ahmet dün akşam büyük bir konser organizasyonu yaptı.;Ahmet dün gece büyük bir konser düzenledi.
A;0.99;['S', 'O', 'O', 'O', 'O', 'V'];0.0;['O', 'O', 'O', 'V', 'O', 'S'];7.711523862191631e-155;0.8926;Elif tatilde İtalya’nın tarihi şehirlerini gezdi.;İtalya'nın tarihi şehirlerini ziyaret etti, Elif.
A;0.33;['O', 'O', 'O', 'O', 'O', 'O', 'O', 'V'];0.33;['O', 'O', 'O', 'O', 'O', 'O', 'V'];4.29307862935549e-78;0.9354;Mustafa, yeni kitabı için İstanbul’da bir söyleşi düzenledi.;Mustafa yeni kitabı için İstanbul'da bir röportaj verdi.
A;0.99;['S', 'O', 'O', 'O', 'O', 'O', 'V'];0.99;['S', 'O', 'O', 'O', 'O', 'O', 'V'];0.7071067811865475;0.9855;Zeynep bu sabah başarılı bir sunum gerçekleştirdi.;Zeynep bu sabah başarılı bir sunum yaptı.
A;0.99;['S', 'O', 'O', 'O', 'O', 'V'];0.0;['O', 'O', 'O', 'O', 'V', 'S'];8.869511863657866e-155;0.8897;Mehmet, derin araştırmalarıyla bilimsel makalesini tamamladı.;Bilimsel makalesini derin araştırmalarla tamamladı, Mehmet.
B;0.99;['O', 'O', 'S', 'O', 'O', 'V'];0.99;['S', 'O', 'O', 'O', 'V'];8.286571670851008e-155;0.8213;Yeni tasarım ödülü jüri tarafından verildi.;Jüri yeni tasarım ödülüne karar verdi.
B;0.99;['O', 'S', 'O', 'O', 'O', 'V'];0.33;['O', 'O', 'O', 'O', 'O', 'V'];8.286571670851008e-155;0.8620;Görsel içerikler uzmanlar tarafından dikkatle incelendi.;Görsel içeriğin uzman tarafından dikkatle incelenmesi.
B;0.99;['S', 'O', 'O', 'O', 'O', 'V'];0.99;['S', 'O', 'O', 'O', 'V'];6.147254555356275e-78;0.9863;Mektuplar dün sabah kargo ile gönderildi.;Mektuplar dün sabah kargoyla gönderildi.
B;0.99;['S', 'O', 'O', 'O', 'O', 'V'];0.0;['O', 'O', 'O', 'V', 'O'];1.3934875572055278e-231;0.8120;Film eleştirmenler tarafından olumlu yorumlar aldı.;Olumlu yorumların film eleştirmenleri tarafından.
B;0.99;['O', 'S', 'O', 'V'];0.99;['O', 'S', 'O', 'V'];1.4488496539373276e-231;0.7623;Raporda öneriler detaylıca değerlendirildi.;Tüm öneriler dikkatlice değerlendirilir.
B;0.99;['S', 'S', 'O', 'O', 'O', 'V'];0.33;['O', 'O', 'O', 'O', 'O', 'V'];6.313993041533344e-78;0.8036;Çalışmalar akademisyenler tarafından büyük ilgi gördü.;Akademisyenler tarafından büyük bir çalışma gördü.
B;0.99;['S', 'S', 'O', 'V', 'O'];0.66;['O', 'S', 'S', 'V', 'O'];7.600793306264725e-78;0.9572;Güncellemeler kullanıcılar tarafından test edildi.;Kullanıcılar tarafından güncellemeler test edildi.
B;0.99;['O', 'S', 'O', 'O', 'V'];0.66;['O', 'O', 'S', 'V'];7.600394483915427e-155;0.8873;Kültürel etkinlikler belediye tarafından desteklendi.;Belediyenin kültürel etkinlikleri desteklendi.
