GRUP;SOV_REF;ORDER_REF;SOV_TST;ORDER_TST;BLEU;BERT_F1;REF_CUMLE;TST_CUMLE
A;0.99;['O', 'O', 'S', 'O', 'O', 'O', 'O', 'V'];0.99;['S', 'O', 'O', 'O', 'O', 'O', 'V'];4.685541510640215e-78;0.9085;Dün akşam Ahmet büyük bir konser organizasyonu yaptı.;Ahmet dün gece büyük bir konser düzenledi.
A;0.0;['O', 'O', 'O', 'V', 'O', 'S'];0.0;['O', 'O', 'O', 'V', 'O', 'S'];9.170599044431425e-155;0.9008;İtalya’nın tarihi şehirlerini gezdi tatilde Elif.;İtalya'nın tarihi şehirlerini ziyaret etti, Elif.
A;0.33;['O', 'O', 'O', 'O', 'O', 'O', 'V'];0.33;['O', 'O', 'O', 'O', 'O', 'O', 'V'];0.3155984539112945;0.9321;Mustafa yeni kitabı için İstanbul’da söyleşi düzenledi.;Mustafa yeni kitabı için İstanbul'da bir röportaj verdi.
A;0.99;['O', 'O', 'S', 'O', 'O', 'S', 'V'];0.99;['S', 'O', 'O', 'O', 'O', 'O', 'V'];6.10669334877734e-78;0.9198;Başarılı bir sunum bu sabah Zeynep gerçekleştirdi.;Zeynep bu sabah başarılı bir sunum yaptı.
A;0.0;['O', 'O', 'O', 'O', 'V', 'S'];0.0;['O', 'O', 'O', 'O', 'V', 'S'];5.87583260478785e-78;0.9417;Bilimsel makalesini derin araştırmalarıyla tamamladı Mehmet.;Bilimsel makalesini derin araştırmalarla tamamladı, Mehmet.
B;0.33;['O', 'O', 'O', 'O', 'O', 'V'];0.99;['S', 'O', 'O', 'O', 'V'];8.286571670851008e-155;0.8839;Jüri tarafından yeni tasarım ödülü verildi.;Jüri yeni tasarım ödülüne karar verdi.
B;0.66;['O', 'O', 'O', 'O', 'S', 'V'];0.33;['O', 'O', 'O', 'O', 'O', 'V'];8.286571670851008e-155;0.8221;Uzmanlar tarafından dikkatle görsel içerikler incelendi.;Görsel içeriğin uzman tarafından dikkatle incelenmesi.
B;0.99;['S', 'O', 'O', 'O', 'O', 'V'];0.99;['S', 'O', 'O', 'O', 'V'];9.594215925295645e-155;0.9129;Kargo ile dün sabah mektuplar gönderildi.;Mektuplar dün sabah kargoyla gönderildi.
B;0.99;['O', 'S', 'O', 'O', 'O', 'V'];0.0;['O', 'O', 'O', 'V', 'O'];1.3934875572055278e-231;0.8791;Olumlu yorumlar eleştirmenler tarafından film aldı.;Olumlu yorumların film eleştirmenleri tarafından.
B;0.0;['O', 'V', 'S', 'O'];0.99;['O', 'S', 'O', 'V'];1.4488496539373276e-231;0.7159;Detaylıca değerlendirildi öneriler raporda.;Tüm öneriler dikkatlice değerlendirilir.
B;0.33;['O', 'O', 'O', 'O', 'O', 'V'];0.33;['O', 'O', 'O', 'O', 'O', 'V'];6.313993041533344e-78;0.9166;Akademisyenler tarafından büyük ilgi çalışmalar gördü.;Akademisyenler tarafından büyük bir çalışma gördü.
B;0.66;['O', 'S', 'S', 'V', 'O'];0.66;['O', 'S', 'S', 'V', 'O'];1.0;1.0000;Kullanıcılar tarafından güncellemeler test edildi.;Kullanıcılar tarafından güncellemeler test edildi.
B;0.33;['O', 'O', 'O', 'O', 'V'];0.66;['O', 'O', 'S', 'V'];7.600394483915427e-155;0.9205;Belediye tarafından kültürel etkinlikler desteklendi.;Belediyenin kültürel etkinlikleri desteklendi.
B;0.66;['O', 'O', 'O', 'S', 'V'];0.66;['O', 'O', 'O', 'S', 'V'];0.537284965911771;0.9340;Geçen hafta proje toplantıları tamamlandı.;Geçen hafta proje toplantıları bitmişti.
B;0.0;['O', 'V', 'O', 'O', 'S'];0.99;['O', 'S', 'O', 'V', 'O'];1.133422688662942e-154;0.8447;Özenle analiz edildi araştırma verileri.;Araştırma verileri dikkatlice analiz edildi.
C;0.66;['O', 'O', 'O', 'O', 'O', 'S', 'V'];0.66;['O', 'O', 'O', 'O', 'O', 'S', 'V'];1.0;1.0000;Uzman ekip tarafından yeni şehir planları onaylandı.;Uzman ekip tarafından yeni şehir planları onaylandı.
C;0.0;['O', 'O', 'V', 'O', 'O', 'O'];0.66;['O', 'O', 'O', 'S', 'V', 'O'];7.629999090858336e-155;0.8586;Geçen hafta tükenmişti hızla konser biletleri.;Geçen hafta hızla biletler tükendi.
C;0.99;['O', 'S', 'O', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'O', 'O', 'O', 'V'];8.15394372921771e-155;0.8750;Sanat eserleri büyük ilgiyle sergide izlendi.;Sanat eserleri sergide büyük bir ilgi gördü.
